,0,1,2,3,4,5,Coach,URL,TM,Season
982,45,us US,"Oct 19, 1972",Bench,Mar 29,Sep 30,Joe McEwing,/players/m/mcewijo01.shtml,CHW,2018
983,58,jm JM,"Jan 17, 1960",Hitting,Mar 29,Sep 30,Chili Davis,/players/d/davisch01.shtml,CHW,2018
984,46,us US,"Nov 15, 1971",Hitting,Mar 29,Sep 30,Todd Steverson,/players/s/steveto01.shtml,CHW,2018
985,62,us US,"Jan 15, 1956",Pitching,Mar 29,Sep 30,Don Cooper,/players/c/coopedo01.shtml,CHW,2018
986,53,us US,"Dec 29, 1964",Bullpen,Mar 29,Sep 30,Curt Hasler,/register/player.fcgi?id=hasler001cur,CHW,2018
987,55,us US,"Jan 4, 1963",First base,Mar 29,Sep 30,Daryl Boston,/players/b/bostoda01.shtml,CHW,2018
988,60,us US,"Mar 8, 1958",Third base,Mar 29,Sep 30,Nick Capra,/players/c/caprani01.shtml,CHW,2018
989,55,us US,"Dec 25, 1961",Manager,Apr 4,Oct 1,Rick Renteria,/managers/renteri01.shtml,CHW,2017
990,44,us US,"Oct 19, 1972",Bench,Apr 4,Oct 1,Joe McEwing,/players/m/mcewijo01.shtml,CHW,2017
991,53,us US,"Mar 31, 1964",Hitting,Apr 4,Oct 1,Greg Sparks,/register/player.fcgi?id=sparks002jos,CHW,2017
992,45,us US,"Nov 15, 1971",Hitting,Apr 4,Oct 1,Todd Steverson,/players/s/steveto01.shtml,CHW,2017
993,61,us US,"Jan 15, 1956",Pitching,Apr 4,Oct 1,Don Cooper,/players/c/coopedo01.shtml,CHW,2017
994,52,us US,"Dec 29, 1964",Bullpen,Apr 4,Oct 1,Curt Hasler,/register/player.fcgi?id=hasler001cur,CHW,2017
995,54,us US,"Jan 4, 1963",First base,Apr 4,Oct 1,Daryl Boston,/players/b/bostoda01.shtml,CHW,2017
996,59,us US,"Mar 8, 1958",Third base,Apr 4,Oct 1,Nick Capra,/players/c/caprani01.shtml,CHW,2017
997,48,us US,"Jul 14, 1967",Manager,Apr 4,Oct 2,Robin Ventura,/players/v/venturo01.shtml,CHW,2016
998,54,us US,"Dec 25, 1961",Bench,Apr 4,Oct 2,Rick Renteria,/managers/renteri01.shtml,CHW,2016
999,52,us US,"Mar 31, 1964",Hitting,Apr 4,Oct 2,Greg Sparks,/register/player.fcgi?id=sparks002jos,CHW,2016
1000,44,us US,"Nov 15, 1971",Hitting,Apr 4,Oct 2,Todd Steverson,/players/s/steveto01.shtml,CHW,2016
1001,60,us US,"Jan 15, 1956",Pitching,Apr 4,Oct 2,Don Cooper,/players/c/coopedo01.shtml,CHW,2016
1002,52,us US,"Jul 17, 1963",Bullpen,Apr 4,Oct 2,Bobby Thigpen,/players/t/thigpbo01.shtml,CHW,2016
1003,53,us US,"Jan 4, 1963",First base,Apr 4,Oct 2,Daryl Boston,/players/b/bostoda01.shtml,CHW,2016
1004,43,us US,"Oct 19, 1972",Third base,Apr 4,Oct 2,Joe McEwing,/players/m/mcewijo01.shtml,CHW,2016
1005,47,us US,"Jul 14, 1967",Manager,Apr 6,Oct 4,Robin Ventura,/players/v/venturo01.shtml,CHW,2015
1006,53,us US,"Sep 16, 1961",Bench,Apr 6,Oct 1,Mark Parent,/players/p/parenma01.shtml,CHW,2015
1007,56,us US,"Mar 15, 1959",Hitting,Apr 6,Oct 4,Harold Baines,/players/b/baineha01.shtml,CHW,2015
1008,43,us US,"Nov 15, 1971",Hitting,Apr 6,Oct 4,Todd Steverson,/players/s/steveto01.shtml,CHW,2015
1009,59,us US,"Jan 15, 1956",Pitching,Apr 6,Oct 4,Don Cooper,/players/c/coopedo01.shtml,CHW,2015
1010,51,us US,"Jul 17, 1963",Bullpen,Apr 6,Oct 4,Bobby Thigpen,/players/t/thigpbo01.shtml,CHW,2015
1011,52,us US,"Jan 4, 1963",First base,Apr 6,Oct 4,Daryl Boston,/players/b/bostoda01.shtml,CHW,2015
1012,42,us US,"Oct 19, 1972",Third base,Apr 6,Oct 4,Joe McEwing,/players/m/mcewijo01.shtml,CHW,2015
1013,46,us US,"Jul 14, 1967",Manager,Mar 31,Sep 28,Robin Ventura,/players/v/venturo01.shtml,CHW,2014
1014,52,us US,"Sep 16, 1961",Bench,Mar 31,Sep 28,Mark Parent,/players/p/parenma01.shtml,CHW,2014
1015,55,us US,"Mar 15, 1959",Hitting,Mar 31,Sep 28,Harold Baines,/players/b/baineha01.shtml,CHW,2014
1016,42,us US,"Nov 15, 1971",Hitting,Mar 31,Sep 28,Todd Steverson,/players/s/steveto01.shtml,CHW,2014
1017,58,us US,"Jan 15, 1956",Pitching,Mar 31,Sep 28,Don Cooper,/players/c/coopedo01.shtml,CHW,2014
1018,50,us US,"Jul 17, 1963",Bullpen,Mar 31,Sep 28,Bobby Thigpen,/players/t/thigpbo01.shtml,CHW,2014
1019,51,us US,"Jan 4, 1963",First base,Mar 31,Sep 28,Daryl Boston,/players/b/bostoda01.shtml,CHW,2014
1020,41,us US,"Oct 19, 1972",Third base,Mar 31,Sep 28,Joe McEwing,/players/m/mcewijo01.shtml,CHW,2014
1021,45,us US,"Jul 14, 1967",Manager,Apr 1,Sep 29,Robin Ventura,/players/v/venturo01.shtml,CHW,2013
1022,51,us US,"Sep 16, 1961",Bench,Apr 1,Sep 29,Mark Parent,/players/p/parenma01.shtml,CHW,2013
1023,54,us US,"Mar 15, 1959",Hitting,Apr 1,Sep 29,Harold Baines,/players/b/baineha01.shtml,CHW,2013
1024,48,us US,"Aug 23, 1964",Hitting,Apr 1,Sep 29,Jeff Manto,/players/m/mantoje01.shtml,CHW,2013
1025,57,us US,"Jan 15, 1956",Pitching,Apr 1,Sep 29,Don Cooper,/players/c/coopedo01.shtml,CHW,2013
1026,49,us US,"Jul 17, 1963",Bullpen,Apr 1,Sep 29,Bobby Thigpen,/players/t/thigpbo01.shtml,CHW,2013
1027,50,us US,"Jan 4, 1963",First base,Apr 1,Sep 29,Daryl Boston,/players/b/bostoda01.shtml,CHW,2013
1028,40,us US,"Oct 19, 1972",Third base,Apr 1,Sep 29,Joe McEwing,/players/m/mcewijo01.shtml,CHW,2013
1029,44,us US,"Jul 14, 1967",Manager,Apr 6,Oct 3,Robin Ventura,/players/v/venturo01.shtml,CHW,2012
1030,50,us US,"Sep 16, 1961",Bench,Apr 6,Oct 3,Mark Parent,/players/p/parenma01.shtml,CHW,2012
1031,47,us US,"Aug 23, 1964",Hitting,Apr 6,Oct 3,Jeff Manto,/players/m/mantoje01.shtml,CHW,2012
1032,56,us US,"Jan 15, 1956",Pitching,Apr 6,Oct 3,Don Cooper,/players/c/coopedo01.shtml,CHW,2012
1033,47,pr PR,"Jan 5, 1965",Bullpen,Apr 6,Oct 3,Juan Nieves,/players/n/nieveju01.shtml,CHW,2012
1034,53,us US,"Mar 15, 1959",First base,Apr 6,Oct 3,Harold Baines,/players/b/baineha01.shtml,CHW,2012
1035,39,us US,"Oct 19, 1972",Third base,Apr 6,Oct 3,Joe McEwing,/players/m/mcewijo01.shtml,CHW,2012
1036,47,ve VE,"Jan 20, 1964",Manager,Apr 1,Sep 26,Ozzie Guillen,/players/g/guilloz01.shtml,CHW,2011
1037,55,us US,"Jan 15, 1956",Manager,Sep 27,Sep 28,Don Cooper,/players/c/coopedo01.shtml,CHW,2011
1038,46,pr PR,"May 14, 1965",Bench,Apr 1,Sep 28,Joey Cora,/players/c/corajo01.shtml,CHW,2011
1039,51,us US,"Oct 6, 1959",Hitting,Apr 1,Sep 28,Greg Walker,/players/w/walkegr01.shtml,CHW,2011
1040,55,us US,"Jan 15, 1956",Pitching,Apr 1,Sep 28,Don Cooper,/players/c/coopedo01.shtml,CHW,2011
1041,46,pr PR,"Jan 5, 1965",Bullpen,Apr 1,Sep 28,Juan Nieves,/players/n/nieveju01.shtml,CHW,2011
1042,52,us US,"Mar 15, 1959",First base,Apr 1,Sep 28,Harold Baines,/players/b/baineha01.shtml,CHW,2011
1043,55,us US,"Nov 9, 1955",Third base,Apr 1,Sep 28,Jeff Cox,/players/c/coxje01.shtml,CHW,2011
1044,46,ve VE,"Jan 20, 1964",Manager,Apr 5,Oct 3,Ozzie Guillen,/players/g/guilloz01.shtml,CHW,2010
1045,45,pr PR,"May 14, 1965",Bench,Apr 5,Oct 3,Joey Cora,/players/c/corajo01.shtml,CHW,2010
1046,50,us US,"Oct 6, 1959",Hitting,Apr 5,Oct 3,Greg Walker,/players/w/walkegr01.shtml,CHW,2010
1047,54,us US,"Jan 15, 1956",Pitching,Apr 5,Oct 3,Don Cooper,/players/c/coopedo01.shtml,CHW,2010
1048,45,pr PR,"Jan 5, 1965",Bullpen,Apr 5,Oct 3,Juan Nieves,/players/n/nieveju01.shtml,CHW,2010
1049,51,us US,"Mar 15, 1959",First base,Apr 5,Oct 3,Harold Baines,/players/b/baineha01.shtml,CHW,2010
1050,54,us US,"Nov 9, 1955",Third base,Apr 5,Oct 3,Jeff Cox,/players/c/coxje01.shtml,CHW,2010
1051,45,ve VE,"Jan 20, 1964",Manager,Apr 7,Oct 4,Ozzie Guillen,/players/g/guilloz01.shtml,CHW,2009
1052,44,pr PR,"May 14, 1965",Bench,Apr 7,Oct 4,Joey Cora,/players/c/corajo01.shtml,CHW,2009
1053,49,us US,"Oct 6, 1959",Hitting,Apr 7,Oct 4,Greg Walker,/players/w/walkegr01.shtml,CHW,2009
1054,53,us US,"Jan 15, 1956",Pitching,Apr 7,Oct 4,Don Cooper,/players/c/coopedo01.shtml,CHW,2009
1055,44,pr PR,"Jan 5, 1965",Bullpen,Apr 7,Oct 4,Juan Nieves,/players/n/nieveju01.shtml,CHW,2009
1056,50,us US,"Mar 15, 1959",First base,Apr 7,Oct 4,Harold Baines,/players/b/baineha01.shtml,CHW,2009
1057,53,us US,"Nov 9, 1955",Third base,Apr 7,Oct 4,Jeff Cox,/players/c/coxje01.shtml,CHW,2009
1058,44,ve VE,"Jan 20, 1964",Manager,Mar 31,Sep 30,Ozzie Guillen,/players/g/guilloz01.shtml,CHW,2008
1059,43,pr PR,"May 14, 1965",Bench,Mar 31,Sep 30,Joey Cora,/players/c/corajo01.shtml,CHW,2008
1060,48,us US,"Oct 6, 1959",Hitting,Mar 31,Sep 30,Greg Walker,/players/w/walkegr01.shtml,CHW,2008
1061,52,us US,"Jan 15, 1956",Pitching,Mar 31,Sep 30,Don Cooper,/players/c/coopedo01.shtml,CHW,2008
1062,43,pr PR,"Jan 5, 1965",Bullpen,Mar 31,Sep 30,Juan Nieves,/players/n/nieveju01.shtml,CHW,2008
1063,49,us US,"Mar 15, 1959",First base,Mar 31,Sep 30,Harold Baines,/players/b/baineha01.shtml,CHW,2008
1064,52,us US,"Nov 9, 1955",Third base,Mar 31,Sep 30,Jeff Cox,/players/c/coxje01.shtml,CHW,2008
1065,43,ve VE,"Jan 20, 1964",Manager,Apr 2,Sep 30,Ozzie Guillen,/players/g/guilloz01.shtml,CHW,2007
1066,42,pr PR,"May 14, 1965",Bench,Apr 2,Sep 30,Joey Cora,/players/c/corajo01.shtml,CHW,2007
1067,47,us US,"Oct 6, 1959",Hitting,Apr 2,Sep 30,Greg Walker,/players/w/walkegr01.shtml,CHW,2007
